Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
Rp400 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,Luas Bangunan 21m²,Sertifikat Hak Milik,N/A,Rp19 Jt/m²
Rp875 Jt,Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 25m,Sertifikat Hak Milik,Rp35 Jt/m²
Rp499 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 21m,Strata,"Rp23,8 Jt/m²"
"Rp3,2 M",Kec. Jagakarsa,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 103m,N/A,"Rp31,1 Jt/m²"
"Rp3,8 M",Kec. Kebayoran Lama,Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 152m,N/A,"Rp25,3 Jt/m²"
Rp8 M,Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 131m,Sertifikat Hak Milik,"Rp61,1 Jt/m²"
"Rp1,9 M",Kel. Tebet Timur,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 69m,Sertifikat Hak Milik,"Rp28,3 Jt/m²"
Rp575 Jt,Kel. Tebet Timur,Kec. Tebet,Kota Jakarta Selatan,Luas Bangunan 23m²,Sertifikat Hak Milik,N/A,Rp25 Jt/m²
Rp33 M,Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 485m,Hak Guna Bangunan,Rp68 Jt/m²
Rp375 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,Luas Bangunan 21m²,Sertifikat Hak Milik,N/A,"Rp17,9 Jt/m²"
Rp350 Jt,Kel. Pondok Bambu,Kec. Duren Sawit,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 32m,Hak Guna Bangunan,"Rp10,9 Jt/m²"
